Question	Response	Collector	project_Title	Name of PI or project lead(s)	Please enter your name	Type of Project	Project Stage	Year Awarded	Faculty_School	Department	Short description of project	Course Format	Course_Level	Course Type	Enrolment Cap	Course Location	source	target	source long name	target long name	value	matrix
"[IMP_APP.1] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Generic Lifelong learning skills (e.g., collaboration, critical/interdisciplinary thinking)"	Observations	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Lifelong learning skills	Observations	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	Observations	1	impactXapproach
"[IMP_APP.3] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Attitudes (e.g., perceptions about discipline)"	Observations	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Attitudes and motivation	Observations	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Observations	1	impactXapproach
"[IMP_APP.3] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Attitudes (e.g., perceptions about discipline)"	Reflective writing	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Attitudes and motivation	Reflective writing	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Reflective writing	1	impactXapproach
"[IMP_APP.4] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Motivation (e.g., personal goals)"	Observations	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Attitudes and motivation	Observations	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Observations	1	impactXapproach
"[IMP_APP.4] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Motivation (e.g., personal goals)"	Reflective writing	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Attitudes and motivation	Reflective writing	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	Reflective writing	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Observations	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Actions and behaviours	Observations	"Actions and behaviours (e.g.,time on task, enrolment)"	Observations	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Reflective writing	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Actions and behaviours	Reflective writing	"Actions and behaviours (e.g.,time on task, enrolment)"	Reflective writing	1	impactXapproach
"[IMP_APP.5] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Actions and behaviours (e.g.,time on task, enrolment)"	Secondary data	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Actions and behaviours	Secondary data	"Actions and behaviours (e.g.,time on task, enrolment)"	Secondary data	1	impactXapproach
"[IMP_APP.7] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Instructional team (e.g., TA use of time)"	Observations	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Instructional team practices	Observations	"Instructional team practices (e.g., TA use of time)"	Observations	1	impactXapproach
"[IMP_APP.7] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Instructional team (e.g., TA use of time)"	Other evaluation	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Instructional team practices	Other evaluation	"Instructional team practices (e.g., TA use of time)"	Other evaluation	1	impactXapproach
[IMP_APP.8] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Other	Observations	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Other area of impact	Observations	Other Area of Impact	Observations	1	impactXapproach
[IMP_APP.8] I evaluate the impact on… [INTENDED AREA OF IMPACT] using… [EVALUATION APPROACH]: (choose all that apply) | Other	Other evaluation	TLEF	Berger inquiry interactive media site	Michael Jackson	Adriana Briseno	FL/Large TLEF	Completed	2013	"Law, Peter A. Allard School of"	Law	"A number of UBC Faculties offer courses dealing with environmental issues, Aboriginal rights and northern development. The Berger Inquiry is an important case study that allows us to understand how these issues interconnect. This project aimed at creating a unique 5-part overview lecture series, as well as an integrated “kit” of interactive media that can be used online by students and instructors of different Faculties across the university. Currently, many courses are imparted in lecture formats with slides. This does not allow students to explore the original speeches or the newspaper clippings or the documentary files from the Berger inquiry, which give historical context to the lecture. By placing the lecture and the resources online, students will be able to explore the Inquiry materials at length and at their own pace. Online materials include original speeches, newspaper clippings, documentary files, and interviews with individuals from the UBC and legal communities who participated in the inquiry. The project will also allow us to reach the widest possible audience, not only at UBC, but for scholars at distance universities, museums and archives."	Other	N/A	N/A	N/A	N/A	Other area of impact	Other evaluation	Other Area of Impact	Other evaluation	1	impactXapproach
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Content - instructor generated	Course specific knowledge	"Content - instructor generated (e.g., videos)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Content - instructor generated	Lifelong learning skills	"Content - instructor generated (e.g., videos)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.6] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Out of class content delivery (e.g., videos, textbook)"	"Operations (e.g., finance, reputation)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Content - instructor generated	Operations	"Content - instructor generated (e.g., videos)"	"Operations (e.g., finance, reputation)"	1	innovationXimpact
[INN_IMP.7] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Online discussion/forums	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Assessment - peer feedback	Attitudes and motivation	"Assessment - peer feedback (e.g., PeerWise, Calibrated Peer Review)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
[INN_IMP.7] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Online discussion/forums	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Assessment - peer feedback	Actions and behaviours	"Assessment - peer feedback (e.g., PeerWise, Calibrated Peer Review)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.11] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Reduced seat time (e.g., fewer face-to-face contact hours)"	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Reduced seat time	Lifelong learning skills	Reduced seat time (reducing face-to-face contact hours)	"Lifelong skills (including professional skills, e.g., collaboration, critical/interdisciplinary thinking)"	1	innovationXimpact
"[INN_IMP.11] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Reduced seat time (e.g., fewer face-to-face contact hours)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Reduced seat time	Actions and behaviours	Reduced seat time (reducing face-to-face contact hours)	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.11] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Reduced seat time (e.g., fewer face-to-face contact hours)"	"Operations (e.g., finance, reputation)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Reduced seat time	Operations	Reduced seat time (reducing face-to-face contact hours)	"Operations (e.g., finance, reputation)"	1	innovationXimpact
"[INN_IMP.13] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other assessment (e.g., two-stage exam)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Assessment - other	Course specific knowledge	"Assessment - other (e.g., two-stage exams, diagnostics)"	"Course specific knowledge (including program specific knowledge, e.g., the French revolution, F=ma)"	1	innovationXimpact
"[INN_IMP.13] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other assessment (e.g., two-stage exam)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Assessment - other	Attitudes and motivation	"Assessment - other (e.g., two-stage exams, diagnostics)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.13] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Other assessment (e.g., two-stage exam)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Assessment - other	Actions and behaviours	"Assessment - other (e.g., two-stage exams, diagnostics)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
"[INN_IMP.14] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Program level curricular modifications (e.g., learning outcomes alignment)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Program structure	Attitudes and motivation	"Program Structure (e.g., learning outcomes alignment)"	"Attitudes and motivation (e.g., personal goals, perceptions about discipline)."	1	innovationXimpact
"[INN_IMP.14] What is the impact of… [ELEMENT OF INNOVATION] on… [INTENDED AREA OF IMPACT] ? (choose all that apply) | Program level curricular modifications (e.g., learning outcomes alignment)"	"Actions and behaviours (e.g.,time on task, enrolment)"	TLEF	Blending fundamental and useful genetics	Rosemary Redfield	Adriana Briseno (with data from Gilian Gerhard)	FL/Large TLEF	In progress	2014	"Science, Faculty of"	Biology	"This project will create a one-term transition section of Fundamentals of Genetics (BIOL 234; section 103) in which materials from the Useful Genetics MOOC will be converted into a new blended course, Genetics for Life (BIOL 233). The new course will fulfill the same program objectives as BIOL 234, but will replace BIOL 234’s emphasis on research with a focus on the personal and societal relevance of genetics, making the course especially suitable for students whose goals do not include research. The course will make optimal use of online resources from the Useful Genetics MOOC to better meet the needs of these students and to prepare them for the expanded role that genetics will play in their non-academic lives."	"Lecture, seminar, tutorial, capstone project"	200-400	Elective	Medium (50-150 students)	Online	Program structure	Actions and behaviours	"Program Structure (e.g., learning outcomes alignment)"	"Actions and behaviours (e.g.,time on task, enrolment)"	1	innovationXimpact
